A_depth,B_depth,A_score,B_score,seed
1,1,10,6,10228
1,1,8,8,20228
1,1,9,7,10245
1,1,8,8,20247
1,1,6,10,10262
1,1,6,10,20266
1,1,6,10,110228
1,1,12,4,120228
1,1,7,9,110245
1,1,12,4,120247
1,1,9,7,110262
1,1,9,7,120266
1,1,10,6,210228
1,1,7,9,220228
1,1,5,11,210245
1,1,7,9,220247
1,1,9,7,210262
1,1,7,9,220266
1,1,11,5,310228
1,1,6,10,320228
1,1,11,5,310245
1,1,8,8,320247
1,1,6,10,310262
1,1,7,9,320266
1,1,9,7,410228
1,1,11,5,420228
1,1,9,7,410245
1,1,9,7,420247
1,1,8,8,410262
1,1,6,10,420266
1,1,10,6,510228
1,1,7,9,520228
1,1,8,8,510245
1,1,7,9,520247
1,1,9,7,510262
1,1,9,7,520266
1,1,9,7,610228
1,1,7,9,620228
1,1,11,5,610245
1,1,10,6,620247
1,1,8,8,610262
1,1,5,11,620266
1,1,15,1,710228
1,1,4,12,720228
1,1,6,10,710245
1,1,7,9,720247
1,1,12,4,710262
1,1,13,3,720266
1,1,8,8,810228
1,1,4,12,820228
1,1,6,10,810245
1,1,7,9,820247
1,1,6,10,810262
1,1,7,9,820266
1,1,6,10,910228
1,1,8,8,920228
1,1,9,7,910245
1,1,3,13,920247
1,1,8,8,910262
1,1,7,9,920266
1,2,5,11,10359
1,2,7,9,20359
1,2,7,9,10376
1,2,9,7,20378
1,2,4,12,10393
1,2,9,7,20397
1,2,6,10,110359
1,2,10,6,120359
1,2,8,8,110376
1,2,5,11,120378
1,2,9,7,110393
1,2,7,9,120397
1,2,10,6,210359
1,2,7,9,220359
1,2,14,2,210376
1,2,6,10,220378
1,2,12,4,210393
1,2,9,7,220397
1,2,11,5,310359
1,2,5,11,320359
1,2,8,8,310376
1,2,9,7,320378
1,2,10,6,310393
1,2,6,10,320397
1,2,9,7,410359
1,2,10,6,420359
1,2,9,7,410376
1,2,5,11,420378
1,2,13,3,410393
1,2,3,13,420397
1,2,7,9,510359
1,2,9,7,520359
1,2,3,13,510376
1,2,7,9,520378
1,2,9,7,510393
1,2,10,6,520397
1,2,7,9,610359
1,2,2,14,620359
1,2,7,9,610376
1,2,8,8,620378
1,2,10,6,610393
1,2,6,10,620397
1,2,3,13,710359
1,2,10,6,720359
1,2,5,11,710376
1,2,10,6,720378
1,2,8,8,710393
1,2,10,6,720397
1,2,8,8,810359
1,2,10,6,820359
1,2,10,6,810376
1,2,5,11,820378
1,2,9,7,810393
1,2,4,12,820397
1,2,10,6,910359
1,2,6,10,920359
1,2,9,7,910376
1,2,6,10,920378
1,2,9,7,910393
1,2,8,8,920397
1,3,13,3,10490
1,3,9,7,20490
1,3,14,2,10507
1,3,6,10,20509
1,3,5,11,10524
1,3,6,10,20528
1,3,8,8,110490
1,3,10,6,120490
1,3,10,6,110507
1,3,7,9,120509
1,3,8,8,110524
1,3,13,3,120528
1,3,6,10,210490
1,3,6,10,220490
1,3,8,8,210507
1,3,10,6,220509
1,3,12,4,210524
1,3,8,8,220528
1,3,7,9,310490
1,3,8,8,320490
1,3,7,9,310507
1,3,6,10,320509
1,3,8,8,310524
1,3,9,7,320528
1,3,8,8,410490
1,3,10,6,420490
1,3,6,10,410507
1,3,12,4,420509
1,3,9,7,410524
1,3,8,8,420528
